game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,game_loc,turnovers_opp,pass_cmp_opp,pass_att_opp,pass_yds_opp,pass_td_opp,rush_att_opp,rush_yds_opp,rush_td_opp,rush_yds_per_att_opp,tot_plays_opp,tot_yds_per_play_opp,first_down_pass_opp,first_down_rush_opp,first_down_penalty_opp,first_down_opp,penalty_opp,penalty_yds_opp,fumbles_lost_opp,pass_int_opp,team_elo
L (21-41),4,15,29,204,1,34,119,1,3.5,63,5.1,2,4,2,15,12,120,2,2,1,1,19,31,224,2,51,293,3,5.7,82,6.3,3,10,3,26,7,60,1,0,-28.47693449330727
W (30-21),2,14,23,161,1,46,211,2,4.6,69,5.4,2,13,2,20,3,35,1,1,1,4,17,28,202,2,33,85,1,2.6,61,4.7,1,3,1,14,7,49,0,4,-14.674127985908072
L (10-49),2,24,50,252,1,30,65,0,2.2,80,4.0,1,4,1,16,10,73,1,1,0,1,18,27,309,2,45,195,5,4.3,72,7.0,5,9,5,26,3,19,0,1,10.604110825932526
L (20-30),3,25,51,286,1,38,170,1,4.5,89,5.1,3,5,3,18,12,79,1,2,0,2,17,35,294,2,36,47,1,1.3,71,4.8,4,4,4,18,5,46,0,2,-4.890963093752552
L (32-36),1,18,33,270,2,34,110,2,3.2,67,5.7,3,8,3,23,9,85,1,0,0,1,26,41,269,3,34,157,1,4.6,75,5.7,3,6,3,25,6,56,0,1,14.601697399483186
W (40-35),0,16,21,252,2,54,166,2,3.1,75,5.6,4,9,4,26,3,20,0,0,1,2,18,24,310,1,21,84,4,4.0,45,8.8,0,5,0,17,6,57,1,1,29.671447364329488
L (13-27),4,21,37,247,0,30,123,1,4.1,67,5.5,2,8,2,18,2,14,2,2,1,0,28,43,263,2,37,128,1,3.5,80,4.9,0,11,0,21,8,66,0,0,16.184826108852864
W (24-14),0,17,28,218,1,37,121,0,3.3,65,5.2,3,8,3,21,5,28,0,0,1,3,22,30,254,2,29,65,0,2.2,59,5.4,0,6,0,17,8,85,1,2,58.37932971217367
W (31-14),0,14,21,130,1,51,208,2,4.1,72,4.7,3,11,3,20,8,58,0,0,1,1,13,36,131,1,26,147,1,5.7,62,4.5,1,5,1,12,5,58,0,1,9.35841838450875
L (23-26),3,13,27,137,0,27,183,3,6.8,54,5.9,0,9,0,14,4,34,2,1,1,1,16,25,269,0,52,153,3,2.9,77,5.5,3,9,3,25,4,20,1,0,20.873168887060604
W (31-7),0,14,19,201,2,36,136,2,3.8,55,6.1,1,6,1,16,6,45,0,0,0,2,14,25,122,1,41,136,0,3.3,66,3.9,0,11,0,18,4,24,1,1,33.77216221737094
L (6-40),2,24,42,265,0,32,46,0,1.4,74,4.2,5,2,5,21,6,60,1,1,1,2,26,34,377,2,45,272,3,6.0,79,8.2,2,18,2,33,11,114,1,1,-14.75448761701468
W (34-30),2,16,32,154,2,31,161,2,5.2,63,5.0,3,9,3,21,4,42,1,1,0,2,31,47,314,2,29,105,1,3.6,76,5.5,3,9,3,28,5,52,1,1,1.4846521605388148
L (19-24),0,26,35,326,1,31,126,0,4.1,66,6.8,0,9,0,21,16,135,0,0,1,1,17,34,245,1,30,136,2,4.5,64,6.0,6,7,6,25,6,45,0,1,2.48980335177799
L (18-21),0,27,37,314,2,29,207,0,7.1,66,7.9,1,12,1,23,6,69,0,0,0,0,14,24,115,1,33,184,2,5.6,57,5.2,2,7,2,15,4,31,0,0,-0.1903022121188851
L (16-40),2,34,50,266,2,30,127,0,4.2,80,4.9,1,7,1,23,6,54,1,1,0,0,8,14,108,2,37,220,2,5.9,51,6.4,2,13,2,20,4,55,0,0,5.564180325110575
W (24-19),1,17,34,245,1,30,136,2,4.5,64,6.0,6,7,6,25,6,45,0,1,1,0,26,35,326,1,31,126,0,4.1,66,6.8,0,9,0,21,16,135,0,0,49.81384787146342
L (24-45),1,26,37,327,2,39,89,1,2.3,76,5.5,0,8,0,21,9,63,0,1,0,1,12,21,184,2,36,276,4,7.7,57,8.1,4,10,4,21,4,30,0,1,62.90241787617384
L (34-38),2,16,30,210,2,45,188,2,4.2,75,5.3,3,10,3,22,7,67,0,2,0,0,21,30,301,3,29,78,1,2.7,59,6.4,4,6,4,24,12,112,0,0,-15.708047894339963
W (38-14),0,10,16,169,1,65,389,4,6.0,81,6.9,1,21,1,31,2,5,0,0,0,2,14,24,191,2,21,36,0,1.7,45,5.0,0,4,0,11,3,30,0,2,21.981996802856695
W (49-21),0,31,37,481,6,35,150,1,4.3,72,8.8,1,11,1,30,3,25,0,0,0,1,24,31,456,3,23,58,0,2.5,54,9.5,0,3,0,21,7,57,0,1,18.823336327515502
L (20-21),3,25,39,232,2,39,123,0,3.2,78,4.6,1,9,1,20,5,52,1,2,0,2,19,32,168,1,35,111,2,3.2,67,4.2,1,7,1,19,3,23,1,1,27.367046848827105
W (31-14),1,20,30,281,3,41,130,1,3.2,71,5.8,2,9,2,23,4,35,1,0,0,2,19,32,235,2,38,165,0,4.3,70,5.7,1,11,1,22,5,55,1,1,68.57480533657744
L (0-56),0,8,17,71,0,31,28,0,0.9,48,2.1,1,0,1,6,2,2,0,0,0,0,25,33,410,2,39,273,6,7.0,72,9.5,0,13,0,30,6,58,0,0,-9.287006934853189
W (45-42),1,26,29,264,3,40,197,3,4.9,69,6.7,1,10,1,23,7,84,1,0,0,3,22,35,329,4,30,68,1,2.3,65,6.1,5,4,5,23,6,45,1,2,5.1714488111285135
L (10-42),2,18,31,141,1,41,149,0,3.6,72,4.0,2,8,2,17,4,23,2,0,1,0,16,22,226,3,34,181,3,5.3,56,7.3,0,10,0,18,4,40,0,0,11.155871054123708
W (52-6),2,21,32,361,3,41,228,4,5.6,73,8.1,3,11,3,28,3,30,0,2,1,2,12,22,117,0,26,99,0,3.8,48,4.5,1,3,1,10,6,55,2,0,17.661661871154514
L (14-34),1,14,31,140,0,33,77,2,2.3,64,3.4,2,4,2,12,4,48,0,1,1,1,25,39,318,3,28,140,0,5.0,67,6.8,1,6,1,23,9,80,0,1,-9.360424359341051
W (31-19),0,16,22,188,0,41,173,4,4.2,63,5.7,2,9,2,19,3,33,0,0,1,0,6,13,115,0,46,205,2,4.5,59,5.4,3,12,3,19,4,35,0,0,7.07402709078624
